municipality,girls_perc,boys_perc,year,latitude,longitude,pop_2020
Ale,2.4,6.2,2016,57.910200000000025,12.07714,31868
Ale,1.3,4.4,2020,57.910200000000025,12.07714,31868
Alingsås,1.7,3.9,2016,57.96326056338028,12.53102253521129,41602
Alingsås,2.7,5.4,2020,57.96326056338028,12.53102253521129,41602
Älmhult,1.5,3.6,2016,56.58613571428573,14.183732142857147,17884
Älmhult,1.7,4.1,2020,56.58613571428573,14.183732142857147,17884
Älvdalen,2.2,3.8,2016,61.14940666666668,14.249459999999996,7033
Älvdalen,4.4,7.2,2020,61.14940666666668,14.249459999999996,7033
Alvesta,1.4,3.5,2016,56.913387500000006,14.542166666666672,20224
Alvesta,2.2,4.3,2020,56.913387500000006,14.542166666666672,20224
Älvkarleby,4.0,13.6,2016,60.61994,17.421039999999998,9511
Älvkarleby,4.0,9.9,2020,60.61994,17.421039999999998,9511
Älvkarleby,4.0,9.9,2020,60.61994,17.421039999999998,9511
Älvsbyn,2.3,5.8,2016,65.6549111111111,21.02053888888889,8054
Älvsbyn,3.6,8.8,2020,65.6549111111111,21.02053888888889,8054
Åmål,2.3,3.7,2016,58.999085000000015,12.731180000000002,12441
Åmål,3.2,5.8,2020,58.999085000000015,12.731180000000002,12441
Aneby,,6.0,2016,57.823475,14.806981250000002,6821
Aneby,2.7,6.0,2020,57.823475,14.806981250000002,6821
Ånge,3.1,5.9,2016,62.51149999999999,15.68732857142857,9226
Ånge,2.8,7.1,2020,62.51149999999999,15.68732857142857,9226
Ängelholm,1.7,4.2,2016,56.242165079365066,12.874739682539673,42910
Ängelholm,2.6,5.8,2020,56.242165079365066,12.874739682539673,42910
Arboga,2.0,4.4,2016,59.39940000000002,15.835293103448272,14039
Arboga,3.3,5.5,2020,59.39940000000002,15.835293103448272,14039
Åre,1.7,2.6,2016,63.34077272727273,13.334563636363631,12049
Åre,2.1,3.3,2020,63.34077272727273,13.334563636363631,12049
Årjäng,1.2,5.8,2016,59.40319411764706,12.14100588235294,9996
Årjäng,2.6,5.7,2020,59.40319411764706,12.14100588235294,9996
Arjeplog,,14.0,2016,65.89612857142856,17.983985714285716,2718
Arjeplog,,13.4,2020,65.89612857142856,17.983985714285716,2718
Arvidsjaur,4.0,8.5,2016,65.60641176470587,19.14634117647059,6145
Arvidsjaur,4.8,10.0,2020,65.60641176470587,19.14634117647059,6145
Arvika,1.8,4.6,2016,59.659662857142834,12.606579999999994,25932
Arvika,2.8,4.6,2020,59.659662857142834,12.606579999999994,25932
Åsele,4.0,,2016,64.06332,17.75,2805
Åsele,6.3,13.6,2020,64.06332,17.75,2805
Askersund,2.5,6.6,2016,58.87572500000001,14.94470416666667,11471
Askersund,4.5,8.4,2020,58.87572500000001,14.94470416666667,11471
Åstorp,3.8,7.5,2016,56.13393478260872,12.951708695652174,16063
Åstorp,3.3,6.9,2020,56.13393478260872,12.951708695652174,16063
Åtvidaberg,3.9,7.4,2016,58.20885185185183,15.96383333333334,11427
Åtvidaberg,5.5,11.3,2020,58.20885185185183,15.96383333333334,11427
Avesta,1.9,5.5,2016,60.15633695652175,16.182671739130416,23067
Avesta,4.6,9.4,2020,60.15633695652175,16.182671739130416,23067
Båstad,2.0,4.4,2016,56.40680882352939,12.849000000000004,15413
Båstad,2.7,4.7,2020,56.40680882352939,12.849000000000004,15413
Bengtsfors,2.6,4.0,2016,58.964730434782574,12.19355652173913,9591
Bengtsfors,3.3,9.4,2020,58.964730434782574,12.19355652173913,9591
Berg,1.9,3.1,2016,62.59647142857144,14.448614285714283,7120
Berg,2.5,6.9,2020,62.59647142857144,14.448614285714283,7120
Bjurholm,,6.8,2016,63.90954999999999,19.36459,2387
Bjurholm,,6.9,2020,63.90954999999999,19.36459,2387
Bjuv,1.6,7.8,2016,56.08461500000001,12.924405000000007,15697
Bjuv,3.2,6.3,2020,56.08461500000001,12.924405000000007,15697
Boden,4.0,6.0,2016,65.85036730769238,21.710119230769205,28060
Boden,5.4,9.8,2020,65.85036730769238,21.710119230769205,28060
Bollebygd,2.9,3.7,2016,57.69392499999998,12.607549999999998,9544
Bollebygd,4.4,5.4,2020,57.69392499999998,12.607549999999998,9544
Bollnäs,3.3,5.7,2016,61.33001224489791,16.44245306122449,26809
